"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C201";"C_0603";1;"1Âµ";;;
2;"C202,C203,C204,C207,C306";"C_0603";5;"C";;;
3;"C205,C301,C302,C305,C501,C502";"C_0603";6;"100n";;;
4;"C206";"C_0603";1;"4u7";;;
5;"C303,C304";"C_0603";2;"22p";;;
6;"C401,C402,C403";"C_0603";3;"470n";;;
7;"D201";"SOD-323";1;"TVS";;;
8;"P101";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
9;"P103";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"CONN_02X05";;;
10;"P104";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
11;"Q301,Q201";"SOT-23";2;"BSH105";;;
12;"R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R302,R1,R2,R3,R4,R5,R6";"R_0603";26;"R";;;
13;"R301,R401";"R_0603";2;"10k";;;
14;"X301";"crystal_FA238-TSX3225";1;"8MHz";;;
15;"P102";"Pin_Header_Straight_2x03";1;"CONN_02X03";;;
16;"IC301";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328-A";;;
17;"FB501";"R_0603";1;"FILTER";;;
18;"U501";"SOT-23-5";1;"SN74AUP1T32";;;
19;"W1,W2,W3,W4,W7,W9,W201";"Test_pair_TH_small";7;"TEST";;;
20;"W5,W6,W8";"Test_pair_TH_tiny";3;"TEST";;;
21;"D301";"LED-0603";1;"LED";;;
22;"L201,L202";"R_1210";2;"INDUCTOR";;;
23;"U401";"BLE113";1;"BLE113";;;
24;"U502";"LGA-14_(CC-14-1)";1;"ADXL375";;;
25;"BT201";"CR2032-holder-S8421R";1;"Battery";;;
26;"U201";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"LTC3331";;;
